"time","S","E","I","R","Epoch"
2020-10-05,109366594.86138,20889508.1541825,38247428.7080166,24406851.896421,4
2020-10-06,104623425.27584,21263041.873502,40644586.1220291,26379330.3486291,4
2020-10-07,99958956.206968,21495099.2030543,42985945.6631378,28470382.5468399,4
2020-10-08,95402242.8019487,21585991.4316707,45245584.6542872,30676564.7320933,4
2020-10-09,90976984.5259164,21540820.3620771,47399400.1886758,32993178.5433307,4
2020-10-10,86701011.2670663,21369040.1361761,49425948.0921043,35414384.1246532,4
2020-10-11,82586181.4753342,21083726.311228,51307125.538773,37933350.2946648,4
2020-10-12,78638657.7384149,20700645.1430794,53028646.0296533,40542434.7088523,4
2020-10-13,74859494.3498785,20237214.9737932,54580292.3609745,43233381.9353537,4
2020-10-14,71245447.016571,19711462.8715079,55955945.2848593,45997528.4470619,4
2020-10-15,67789910.2667758,19141063.1206094,57153406.303054,48826003.9295608,4
2020-10-16,64483893.5273009,18542521.4000934,58174049.4653341,51709919.2272715,4
2020-10-17,61316961.310153,17930545.4133922,59022343.4279139,54640533.4685409,4
2020-10-18,58278082.1954754,17317616.3484242,59705290.0717527,57609395.0043476,4
2020-10-19,55356350.5473768,16713755.7981158,60231824.1598864,60608453.114621,4
2020-10-20,52541562.4717321,16126468.2066194,60612213.3624123,63630139.5792362,4
2020-10-21,49824641.8367243,15560829.4590855,60857491.3701221,66667420.9540681,4
2020-10-22,47197922.4950007,15019688.6239428,60978948.641585,69713823.8594714,4
2020-10-23,44655299.8427692,14503949.7312212,60987697.4317356,72763436.614274,4
2020-10-24,42192268.9840512,14012902.9369935,60894320.5128673,75810891.186088,4
2020-10-25,39805868.7497758,13544578.4432926,60708606.6805051,78851329.7464265,4
2020-10-26,37494551.3380111,13096101.0549913,60439371.0878237,81880360.1391739,4
2020-10-27,35257996.7769065,12664027.9153374,60094354.5568033,84894004.3709528,4
2020-10-28,33096890.1631406,12244656.3826107,59680193.2107531,87888643.8634956,4
2020-10-29,31012678.0945966,11834292.859903,59202447.9340205,90860964.7314798,4
2020-10-30,29007318.5848768,11429476.9825837,58665682.261867,93807905.7906725,4
2020-09-17,174819488.457682,3764258.41046619,7783639.65385255,6542997.09799923,3
2020-09-18,172745093.174882,4934836.78504605,8286604.83508499,6943848.82498678,3
2020-09-19,170553436.236311,5992923.89519433,8989049.97174856,7374973.51674612,3
2020-09-20,168206613.585916,6993646.03872466,9864492.98867171,7845631.00668775,3
2020-09-21,165676010.097061,7973456.6952733,10896882.0404816,8364034.78718451,3
2020-09-22,162940228.815017,8955493.68879314,12076884.1277449,8937776.9884446,3
2020-09-23,159983972.758034,9953067.11138603,13399249.2127361,9574094.5378441,3
2020-09-24,156797547.816862,10971939.1381959,14860874.2858297,10280022.3791125,3
2020-09-25,153376757.460472,12011827.6967987,16459335.8160033,11062462.6467256,3
2020-09-26,149723015.592062,13067432.9720998,18191746.336227,11928188.7196111,3
2020-09-27,145843531.709763,14129211.535577,20053841.1745642,12883799.2000955,3
2020-09-28,141751447.641591,15184044.4766097,22039262.280914,13935629.2208852,3
2020-09-29,137465810.661371,16215937.7782033,24139003.2201985,15089631.9602273,3
2020-09-30,133011307.616677,17206803.1898375,26341036.9520049,16351235.8614809,3
2020-10-01,128417696.622767,18137369.8911853,28630128.8931986,17725188.2128486,3
2020-10-02,123718906.615051,18988220.8404724,30987861.7403931,19215394.4240832,3
2020-10-03,118951844.469827,19740905.5135512,33392869.7413416,20824763.8952801,3
2020-10-04,114154942.635602,20379072.6783167,35821295.1895741,22555073.1165069,3
2020-10-05,109366565.103105,20889518.4064959,38247443.4903868,24406856.6200127,3
2020-10-06,104623393.238002,21263052.2637851,40644602.2725045,26379335.8457087,3
2020-10-07,99958922.0582045,21495109.5522976,42985963.1249615,28470388.8845364,3
2020-10-08,95402206.7658288,21586001.5447981,45245603.3355477,30676571.9738254,3
2020-10-09,90976946.876488,21540830.0350222,47399419.9614678,32993186.7470219,3
2020-10-10,86700972.3214955,21369049.1642593,49425968.7933,35414393.3409453,3
2020-10-11,82586141.58394,21083734.4983008,51307146.9725489,37933360.5652103,3
2020-10-12,78638617.2726566,20700652.3108102,53028667.9717513,40542446.0647819,3
2020-10-13,74859453.6890793,20237220.9703305,54580314.564595,43233394.3959952,3
2020-10-14,71245406.5343411,19711467.5787992,55955967.4878744,45997542.0189854,3
2020-10-15,67789870.3180724,19141066.4597344,57153428.2361781,48826018.6060151,3
2020-10-16,64483854.4370408,18542523.3341898,58174070.8607282,51709934.9880413,3
2020-10-17,61316923.3640829,17930545.9479954,59022364.0276887,54640550.280233,3
2020-10-18,58278045.6337607,17317615.529279,59705309.6358705,57609412.8210897,3
2020-10-19,55356315.5610858,16713753.706781,60231842.4730026,60608471.8791306,3
2020-10-20,52541529.2021174,16126464.9543739,60612230.2393113,63630159.2241974,3
